Date,ContractCode,Item,TradingVolume(Long),TradingValue(Long)(Thousands),TradingVolume(Short),TradingValue(Short)(Thousands),TradingVolume(Net),TradingValue(Net)(Thousands),OpenInterest(Long),ContractValueofOpenInterest(Long)(Thousands),OpenInterest(Short),ContractValueofOpenInterest(Short)(Thousands),OpenInterest(Net),ContractValueofOpenInterest(Net)(Thousands),download_timestamp,process_timestamp
20260713,美國標普500期貨,外資及陸資,3,4552,2,3029,1,1522,26,39437,46,69839,-20,-30402,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國標普500期貨,自營商,0,0,0,0,0,0,0,0,47,71290,-47,-71290,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國費城半導體期貨,外資及陸資,143,149906,77,80798,66,69108,301,304624,193,195316,108,109308,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國費城半導體期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國費城半導體期貨,自營商,0,0,75,78801,-75,-78801,0,0,378,382536,-378,-382536,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國道瓊期貨,外資及陸資,22,23198,29,30585,-7,-7387,174,183519,143,150784,31,32735,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國道瓊期貨,自營商,3,3164,0,0,3,3164,0,0,12,12652,-12,-12652,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國那斯達克100期貨,外資及陸資,254,378144,335,498295,-81,-120151,23,34304,346,513777,-323,-479473,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2968,0,0,2,2968,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,美國那斯達克100期貨,自營商,26,38760,39,58059,-13,-19299,0,0,223,330887,-223,-330887,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,股票期貨,外資及陸資,703339,450940302,694692,447615414,8647,3324889,193988,150215903,700819,421349015,-506831,-271133112,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,股票期貨,投信,1,203,1,203,0,0,9953,4562652,245,52452,9708,4510200,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,股票期貨,自營商,129099,52687182,117834,50163508,11265,2523674,99574,35233978,394041,225207017,-294467,-189973039,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺灣永續期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
